Index,Name,Number Tokens,Total Words,Total Kanji,Kanji 10+,Kanji 5+,Kanji 2+
14679,暗殺者のゲーム　下 (竹書房文庫),43676,6981,1924,822,1145,1590
14680,暗殺者メギド (角川文庫),55468,7008,1977,913,1229,1651
14681,暗渠の連鎖 (角川文庫),37613,6239,1965,756,1068,1544
14682,暗記嫌いなあなたを変える、ICT記憶法ってなに？,1255,507,401,34,81,214
14683,暗躍 -あんやく-,23170,4244,1582,481,787,1204
14684,暗躍捜査　警務部特命工作班 (角川文庫),38152,5089,1701,636,916,1327
14685,暗鬼 (角川文庫),44032,4904,1741,702,986,1396
14686,暗黒ハローワーク！　俺と聖母とバカとロリは勇者の職にありつきたい【電子特別版】 (角川スニーカー文庫),30982,5006,1687,623,911,1335
14687,暗黒小説へようこそ　ミステリーのプロが解説する、ジェイムズ・エルロイの世界【文春e-Books】,5343,1887,967,148,307,631
14688,暗黒星 「明智小五郎」シリーズ (角川ホラー文庫),66533,6922,1998,940,1249,1674
14689,暗黒星雲のかなたに,60831,7322,2085,936,1297,1714
14690,暗黒流砂 (角川文庫),78562,8042,2109,1015,1365,1775
14691,暗黒百物語 骸 (竹書房文庫),27877,5082,1771,572,898,1373
14692,暴れん坊メイドは甘えん坊 (二次元ドリーム文庫),32365,4507,1597,627,881,1292
14693,暴れ宰相 徳川綱重　運命の子 (コスミック時代文庫),24940,4264,1633,490,784,1255
14694,暴れ旗本八代目　けんか凧 (徳間文庫),40359,6622,2088,766,1152,1678
14695,暴れ旗本八代目　はぐれ雲 (徳間文庫),37658,6012,2018,662,1026,1556
14696,暴れ旗本八代目　万里の波_新装版_ (徳間文庫),33018,5622,1894,652,964,1486
14697,暴れ旗本八代目　不知火の雪 (徳間文庫),38044,5504,1908,706,1029,1520
14698,暴れ旗本八代目　天守燃ゆ (徳間文庫),33703,5187,1827,604,909,1433
14699,暴れ旗本八代目　天翔る (徳間文庫),37463,6071,2035,701,1070,1630
14700,暴れ旗本八代目　嫁入り桜_新装版_ (徳間文庫),31524,5279,1863,615,953,1434
14701,暴れ旗本八代目　山河あり (徳間文庫),35700,5850,2002,682,1067,1604
14702,暴れ旗本八代目　怒濤の果て (徳間文庫),33910,5514,1937,646,988,1517
14703,暴れ旗本八代目　海峡遙か (徳間文庫),39541,6798,2119,739,1117,1697
14704,暴れ旗本八代目　荒鷹の鈴 (徳間文庫),36531,5824,1953,682,1030,1570
14705,暴れ旗本八代目　赤銅の峰 (徳間文庫),34491,5684,1973,644,1011,1563
14706,暴れ旗本御用斬り　栄華の夢 (徳間文庫),33878,5356,1862,635,953,1453
14707,暴れ旗本御用斬り　虎狼吼える (徳間文庫),35288,5515,1931,644,965,1488
14708,暴れ旗本御用斬り　雲海の城 (徳間文庫),39473,5801,1962,716,1048,1541
14709,暴れ旗本御用斬り　黄金の峠 (徳間文庫),37555,5424,1863,654,980,1462
14710,暴れ旗本御用斬り　龍雲の群れ (徳間文庫),33083,5050,1817,616,911,1414
14711,暴君との素敵な結婚生活 (ルルル文庫),30297,3870,1523,538,779,1196
14712,暴君の恋はいつも過激 (夢中文庫ロマンス),7970,1901,1003,184,370,705
14713,暴君の激愛 (もえぎ文庫),27475,3842,1535,546,831,1216
14714,暴君社長と契約ドレイ【SS付】【イラスト付】 (チュールキス),29238,3718,1464,530,757,1163
14715,暴虐恋愛（１）,8078,2239,1146,207,417,821
14716,暴虐恋愛（２）,13580,2848,1299,328,578,956
14717,暴虐恋愛（３）,13969,2885,1308,328,590,984
14718,暴言で読む日本史 (メディアファクトリー新書),26811,5155,1703,566,858,1307
14719,暴走婦警マリリン・モンロー＆ミラ・ジョヴォヴィッチ,41040,5886,1798,736,1062,1475
14720,曠吉の恋　昭和人情馬鹿物語 (角川文庫),44214,6716,2097,834,1187,1677
14721,曲矢さんのエア彼氏　木村くんのエア彼女 (ガガガ文庫),33478,4827,1640,600,903,1320
14722,書かれない報告 後藤明生・電子書籍コレクション,7291,1857,1020,231,397,712
14723,書きつづけるコトバ 日能研文学コンクール作品集,42658,5477,1722,672,967,1390
14724,書き換え,2801,997,674,74,149,375
14725,書店であった泣ける話,19576,3548,1405,403,663,1056
14726,書店はなくなる_ 十年前から見えてる未来 本の未来 (なくなるブックス),1915,671,463,49,104,273
14727,書籍の分解に挑戦　本の秘密を紐解く「心の裏側」にあるもの,10590,1581,846,274,409,629
14728,最上川・庄内・日本海_ 鮎・山形牛・クラゲ水族館 日本廻遊美し旅 (三才文庫),5050,1987,1060,145,281,623
14729,最上川殺人事件 茶屋次郎シリーズ (祥伝社文庫),43491,5105,1731,671,990,1399
14730,最低最悪のユニークスキル『悪臭』を手にした俺は、異世界で望まないTUEEEを強いられる,64044,5528,1674,743,1029,1398
14731,最低限知っておきたい聖書の１８のことだま,6968,1672,1008,148,288,666
14732,最凶の人型魔導書に偏愛されているのですが。【初回限定SS付】【イラスト付】 (フェアリーキス),39104,4962,1704,648,927,1343
14733,最初からやり直してください,2246,1072,751,49,134,391
14734,最初で最後の両想い 1話 (アマゾナイトノベルズ),8199,2078,1085,207,374,719
14735,最初で最後の両想い 2話 (アマゾナイトノベルズ),7178,1828,1002,167,342,651
14736,最初で最後の両想い 3話 (アマゾナイトノベルズ),7801,2165,1122,198,406,746
14737,最底辺からニューゲーム！ 2～奴隷商人は次に地位と名誉と無垢な少女を手に入れます～ (HJ文庫),36366,5012,1740,660,981,1411
14738,最底辺からニューゲーム！ 3～奴隷商人は捕まっていても、必ず相手の一歩先をいきます～ (HJ文庫),32243,4881,1715,624,939,1387
14739,最底辺からニューゲーム！ 4～奴隷商人は愉快な奴隷たちと共に世界を変えていきます～ (HJ文庫),30800,4736,1715,611,937,1384
14740,最底辺からニューゲーム！～あえて奴隷になって異世界を実力だけで駆け上がります～ (HJ文庫),37854,4973,1766,675,969,1433
14741,最弱の支配者、とか。 (ガガガ文庫),33939,4395,1539,563,809,1191
14742,最弱テイマーはゴミ拾いの旅を始めました。【電子書籍限定書き下ろしSS付き】,39562,3286,1339,598,819,1114
14743,最弱無敗の神装機竜≪バハムート≫ (GA文庫),34205,5074,1709,700,987,1390
14744,最弱無敗の神装機竜≪バハムート≫２ (GA文庫),35759,4873,1691,705,996,1375
14745,最弱無敗の神装機竜≪バハムート≫３ (GA文庫),37715,4943,1678,683,983,1368
14746,最強と呼ばれた冒険者、低ランク魔物を極める。 (HJ文庫),38458,4667,1714,677,995,1393
14747,最強と呼ばれた冒険者、低ランク魔物を極める。 2 (HJ文庫),34245,4439,1654,629,924,1330
14748,最強のブラック公務員田中とヴァンパイアキャットの姫君 (NOVEL 0),40710,6066,1860,739,1027,1480
14749,最強の不良が女体化！ツンデレ俺口調の美少女に！？ (ぷちぱら文庫),39370,4746,1657,648,930,1350
14750,最強の冒険者だった俺、ちいさい女の子にペットとして甘やかされてます…… (電撃文庫),36741,4441,1600,639,911,1283
14751,最強の相棒 ひねくれ浪人と腰ぬけ若様 (コスミック時代文庫),34395,4956,1745,622,945,1393
14752,最強の鑑定士って誰のこと？ 2　～満腹ごはんで異世界生活～ (カドカワBOOKS),45560,5535,1734,744,1033,1432
14753,最強の鑑定士って誰のこと？　～満腹ごはんで異世界生活～ (カドカワBOOKS),39607,5122,1678,697,982,1368
14754,最強の魔導士。ひざに矢をうけてしまったので田舎の衛兵になる (GAノベル),34373,4039,1585,601,861,1263
14755,最強の魔物になる道を辿る俺、異世界中でざまぁを執行する 【電子限定SS付】 (BKブックス),42793,6516,1978,828,1175,1636
14756,最強の魔物になる道を辿る俺、異世界中でざまぁを執行する （2） 【電子限定SS付】 (BKブックス),41530,6332,1950,811,1136,1597
14757,最強勇者はお払い箱→魔王になったらずっと俺の無双ターン (Kラノベブックス),32920,5412,1823,669,1017,1483
14758,最強同心 剣之介　火盗改ぶっとび事件帳 (コスミック時代文庫),28565,4348,1680,561,860,1322
14759,最強無敵？の落第候補生達 (ＧＬ文庫),16398,2856,1295,383,598,955
14760,最強船長と最高に愉快な仲間たち　１ (レジェンドノベルス),38195,5177,1809,690,984,1424
14761,最強賢者の子育て日記～うちの娘が世界一かわいい件について～ (カドカワBOOKS),44802,5810,1902,786,1104,1540
14762,最強賢者の子育て日記～うちの娘が世界一かわいい件について～　２ (カドカワBOOKS),39470,5515,1857,705,1048,1523
14763,最強陰陽師の異世界転生記　～下僕の妖怪どもに比べてモンスターが弱すぎるんだが～ (Mノベルス),34558,4926,1748,652,959,1408
14764,最強騎士のほのぼの家族旅行 ２　～娘といるため婚約拒否し、騎士団も辞めた。俺は自由だ。さあ、一生の思い出を作りに行こう～ (カドカワBOOKS),34704,4608,1621,628,900,1308
14765,最強騎士のほのぼの家族旅行　～娘といるため婚約拒否し、騎士団も辞めた。俺は自由だ。さあ、一生の思い出を作りに行こう～ (カドカワBOOKS),37946,4765,1646,633,948,1339
14766,最強魔法師の隠遁計画1 (HJ文庫),50127,6842,1921,851,1171,1607
14767,最後に好きと言ってやる (もえぎ文庫),22431,3294,1350,387,596,999
14768,最後に手にしたいもの (翼の王国books),19067,4062,1484,442,720,1114
14769,最後のスコアブック (PHP文芸文庫),30193,5136,1638,600,897,1317
14770,最後のドン (角川文庫),41218,6449,1962,725,1057,1558
14771,最後の医者は桜を見上げて君を想う (TO文庫),52634,6209,1909,813,1127,1565
14772,最後の医者は雨上がりの空に君を願う（上） (TO文庫),32754,5136,1743,643,931,1396
14773,最後の医者は雨上がりの空に君を願う（下） (TO文庫),29741,4784,1733,580,904,1332
14774,最後の夏-ここに君がいたこと- (スターツ出版文庫),28148,3907,1447,534,779,1134
14775,最後の夜～短編一年に一つ×２５（下）～ (光文社文庫),50971,5004,1640,720,1009,1372
14776,最後の御大将 平重衡 義経が最も恐れた男 (PHP文庫),68396,8065,2117,991,1331,1799
14777,最後の新人類,33702,6210,1953,692,1068,1581
14778,最後の明かりを消す前に　絶対に手の届かない人を好きになった。先の見えない恋の出口はあるのか？20分ラブストーリーシリーズ,5893,1526,786,147,276,553
14779,最後の晩ごはん　お兄さんとホットケーキ (角川文庫),31514,5177,1747,596,940,1350
14780,最後の晩ごはん　ふるさととだし巻き卵 (角川文庫),30296,5280,1733,583,904,1379
14781,最後の晩ごはん　刑事さんとハンバーグ (角川文庫),30853,4962,1681,567,890,1319
14782,最後の晩ごはん　小説家と冷やし中華 (角川文庫),31129,4930,1688,574,895,1335
14783,最後の晩ごはん　師匠と弟子のオムライス (角川文庫),30771,5177,1730,583,915,1366
14784,最後の晩餐 (文春文庫),59750,11888,2651,1179,1625,2173
14785,最後の理想郷 (クトゥルー神話中編 2),6756,1691,1010,225,387,701
14786,最後の相場師　新装版 (角川文庫),54308,7300,2042,875,1193,1627
14787,最後の竜殺し (竹書房文庫),46777,7046,1969,781,1135,1605
14788,最後の艦の物語・ポリティカル短編篇,12306,3285,1367,350,613,1011
14789,最後の隠密 (角川文庫),40201,8904,2373,864,1267,1909
14790,最後の魔法使い　西風の皇子 (角川ビーンズ文庫),32522,4464,1682,609,877,1314
14791,最後は、憧れのロンドン駐在！_ 海外生活ノウハウ物語 - 欧州編,13551,2113,968,305,469,719
14792,最後は臼が笑う (Kindle Single),3198,1463,878,74,192,488
14793,最恐 怪談師決定戦 怪談王 戦慄編,10796,3093,1323,315,548,949
14794,最悪探偵 (NOVEL 0),39383,5626,1785,649,982,1436
14795,最愛の調べ～寡黙な王太子と身代わり花嫁～ (ベリーズ文庫),43742,5197,1808,741,1029,1485
14796,最愛婚―私、すてきな旦那さまに出会いました (ベリーズ文庫),36597,4898,1618,599,896,1259
14797,最新版・とあるワナビの小説技法,16934,3595,1378,367,597,1001
14798,最期のセレモニー メモリアルスタッフが見た、感動の実話集,15555,2681,1240,360,579,919
14799,最期の塔,6613,2033,1148,165,349,726
14800,最終解答 日本近現代史 幕末から平成までの歴史論争を一刀両断 (PHP文庫),37652,6559,1794,778,1071,1481
14801,最近義弟が挙動不審です。 (シンデレラノベルス),49699,5818,1757,718,1013,1417
14802,最速出版法_ Amazonで100冊出版した私の Amazon100冊ブックス,2762,822,545,59,133,330
14803,最高に輝く女性になる７つの法則_ シンプルに生きて、笑って、恋をして、幸せな人生を送りたいあなたへ (DNAパブリッシング),7216,1726,918,182,330,590
14804,最高の二次元嫁とつきあう方法 (電撃文庫),39838,4297,1501,556,812,1186
14805,最高の人生を送るための教科書,7412,1252,746,175,329,536
14806,最高の恋人 (ミーティアノベルス),36400,4037,1472,522,749,1148
14807,最高の結果を出す！ 究極の読書術 新「ビジネス書」のトリセツ（特別公開版）,5362,1785,892,142,276,562
14808,最高の結果を引き出す質問力　その問い方が、脳を変える！　試し読み増量版,5392,1274,753,131,247,480
14809,月とマンドリン,15253,3667,1510,379,655,1125
14810,月とライカと吸血姫 (ガガガ文庫),35057,5701,1872,751,1083,1528
14811,月と侍,4138,1651,926,105,243,527
14812,月と六ペンス,62773,8612,2215,948,1328,1831
14813,月と夜の物語1　魔神の王と祝福の乙女 (ビーズログ文庫),32326,4579,1749,636,910,1367
14814,月と夜の物語2　流浪の双児と炎の魔術師 (ビーズログ文庫),36716,4865,1769,684,974,1417
14815,月と夜の物語3　恋を失くした男と愛を誓った娘 (ビーズログ文庫),35352,4490,1705,616,913,1332
14816,月と手袋～江戸川乱歩全集第18巻～ (光文社文庫),90012,8482,2219,1075,1403,1883
14817,月と炎の戦記 (角川スニーカー文庫),38108,5082,1857,686,1014,1463
14818,月と貴女に花束を (電撃文庫),34389,4742,1670,628,914,1324
14819,月と貴女に花束を2　妖龍の少女 (電撃文庫),35520,4850,1698,676,976,1373
14820,月と貴女に花束を3　鬼神猛襲 (電撃文庫),32363,4872,1707,662,950,1384
14821,月と貴女に花束を4　聖夜騒乱 (電撃文庫),33661,4797,1726,665,971,1403
14822,月と貴女に花束を5　聖夜狂瀾 (電撃文庫),36031,4819,1704,681,979,1394
14823,月と貴女に花束を6　聖夜終焉 (電撃文庫),33848,4117,1600,629,901,1297
14824,月と貴女に花束をremains I (電撃文庫),35087,4882,1719,662,973,1409
14825,月と貴女に花束をremains II (電撃文庫),34398,4498,1671,664,927,1342
14826,月と闇の戦記　一　退魔師はがけっぷち。 (角川スニーカー文庫),25839,4481,1691,507,821,1273
14827,月と闇の戦記　三　神様はしらんぷり。 (角川スニーカー文庫),27720,4370,1687,562,856,1314
14828,月と闇の戦記　二　守護者はぶっちぎり。 (角川スニーカー文庫),28041,4486,1610,540,837,1268
14829,月なき夜の幸せなこと 【青い月夜シリーズ】,35617,4283,1636,616,918,1273
14830,月に吠えろ！　萩原朔太郎の事件簿 (徳間文庫),34373,4671,1715,575,889,1358
14831,月に願いを　姫は、三十一　７ (角川文庫),23383,3631,1544,444,696,1109
14832,月のうさぎ (角川ホラー文庫),49398,6419,1828,824,1119,1518
14833,月の下の彷徨者,18865,3255,1398,397,662,1027
14834,月の中で見た夢_ カルディアナ戦記Ⅰ,37208,5058,1817,729,1056,1486
14835,月の女神に、希望の歌を (新潟文楽工房),36049,4902,1703,639,892,1344
14836,月の小屋,16808,3225,1378,370,604,1006
14837,月の檻 01 (イトシセノキミ),45772,5370,1767,753,1019,1444
14838,月の檻 02（同人誌） (イトシセノキミ),14554,2752,1276,348,587,951
14839,月の肖像画 魔女の飾り窓,2481,645,465,70,137,286
14840,月の背中・Ａ面_ 昭和童蒙逐電譚,163376,9929,2193,1255,1553,1911
14841,月の裏に望む,36435,4987,1664,613,890,1293
14842,月の魔法は恋を紡ぐ ～特殊な嗜好はハタ迷惑！～ (ビーズログ文庫),32734,4015,1512,580,841,1232
14843,月の魔法は恋を紡ぐ2 ～魅惑の舞踏会は嫉妬の嵐！～ (ビーズログ文庫),31909,3834,1479,551,827,1178
14844,月の魔法は恋を紡ぐ3 ～過保護な愛は波乱の予感！～ (ビーズログ文庫),33380,4107,1506,584,858,1224
14845,月の魔法は恋を紡ぐ4 ～繋がる想いは永遠に～ (ビーズログ文庫),35518,4145,1553,594,873,1226
14846,月の魚は水の檻にあえぐ (らぶドロップス),21846,3240,1398,447,709,1088
14847,月をも砕くオナホール－史上最大のテクノブレイク－ (オシリス文庫),11496,3257,1366,314,547,1003
14848,月を抱く、星を走る,39605,6109,1739,664,972,1393
14849,月下の約束～君を求め君を愛す～ 1,9151,1895,970,214,381,692
14850,月下の約束～君を求め君を愛す～ 2,5587,1425,858,126,256,562
14851,月下蜜戯　国王の寵愛は舞姫の下に (ガブリエラ文庫),42212,4871,1759,709,1003,1439
14852,月下迷夢,11878,2394,1213,281,493,872
14853,月世界旅行 驚異の旅,41588,6878,2021,770,1117,1626
